고객사ID,가입일,산업군,요금제,좌석수,월구독료,이탈여부
C00514,2023-11-28,제조,Basic,1,29000,0
C00515,2023-10-14,제조,Basic,1,29000,0
C00516,2024-04-06,공공,Pro,6,594000,0
C00517,2023-10-18,스타트업,Pro,7,693000,1
C00518,2023-07-09,금융,Pro,3,297000,0
C00519,2023-01-02,유통/이커머스,Pro,6,594000,0
C00520,2022-08-11,교육,Basic,2,58000,0
C00521,2022-08-10,유통/이커머스,Basic,1,29000,0
C00522,2022-02-22,공공,Pro,3,297000,0
C00523,2022-12-17,교육,Basic,1,29000,1
C00524,2023-11-07,금융,Pro,4,396000,1
C00525,2023-05-19,IT/SW,Basic,1,29000,0
C00526,2024-04-18,IT/SW,Pro,2,198000,0
C00527,2022-03-28,제조,Pro,1,99000,1
C00528,2024-03-05,교육,Basic,2,58000,0
C00529,2023-04-22,스타트업,Basic,1,29000,0
C00530,2023-12-31,교육,Basic,2,58000,0
C00531,2022-04-03,유통/이커머스,Enterprise,27,10530000,0
C00532,2022-11-24,제조,Basic,1,29000,0
C00533,2023-03-19,IT/SW,Enterprise,24,9360000,1
C00534,2022-01-28,스타트업,Pro,4,396000,0
C00535,2023-03-02,금융,Pro,2,198000,1
C00536,2022-07-24,스타트업,Pro,7,693000,0
C00537,2022-04-03,금융,Pro,3,297000,0
C00538,2022-03-23,IT/SW,Basic,1,29000,0
C00539,2023-04-30,IT/SW,Basic,1,29000,0
C00540,2024-06-15,공공,Pro,2,198000,1
C00541,2024-01-28,제조,Pro,1,99000,0
C00542,2022-06-13,유통/이커머스,Enterprise,23,8970000,0
C00543,2023-08-01,유통/이커머스,Pro,5,495000,1
C00544,2022-02-06,공공,Basic,1,29000,0
C00545,2024-03-22,IT/SW,Basic,1,29000,1
C00546,2022-12-16,제조,Basic,2,58000,0
C00547,2024-02-23,교육,Basic,1,29000,1
C00548,2023-02-21,제조,Pro,6,594000,0
C00549,2022-06-07,교육,Pro,9,891000,0
C00550,2022-12-16,스타트업,Enterprise,25,9750000,0
C00551,2023-12-10,교육,Basic,1,29000,0
C00552,2023-03-18,IT/SW,Basic,1,29000,0
C00553,2023-04-02,스타트업,Pro,9,891000,0
C00554,2022-08-09,교육,Basic,3,87000,0
C00555,2024-04-03,공공,Enterprise,30,11700000,0
C00556,2023-08-15,제조,Enterprise,28,10920000,1
C00557,2023-04-07,공공,Basic,1,29000,1
C00558,2023-03-11,교육,Basic,1,29000,0
C00559,2024-02-05,유통/이커머스,Enterprise,34,13260000,0
C00560,2023-05-05,공공,Basic,3,87000,0
C00561,2022-06-03,의료,Pro,4,396000,0
C00562,2022-01-18,스타트업,Basic,1,29000,0
C00563,2023-02-16,의료,Pro,3,297000,0
C00564,2023-08-25,제조,Basic,1,29000,0
C00565,2022-01-30,IT/SW,Pro,6,594000,0
C00566,2022-10-18,교육,Enterprise,45,17550000,0
C00567,2024-05-09,제조,Basic,1,29000,0
C00568,2023-11-26,공공,Basic,3,87000,0
C00569,2022-10-18,공공,Pro,2,198000,0
C00570,2023-12-25,제조,Pro,3,297000,0
C00571,2023-01-28,공공,Basic,1,29000,1
C00572,2023-04-08,IT/SW,Enterprise,27,10530000,0
C00573,2023-01-31,제조,Pro,4,396000,0
C00574,2022-11-02,교육,Basic,3,87000,0
C00575,2023-06-03,스타트업,Pro,2,198000,0
C00576,2022-01-06,IT/SW,Enterprise,29,11310000,0
C00577,2023-07-28,금융,Basic,1,29000,0
C00578,2022-04-21,공공,Basic,1,29000,1
C00579,2023-01-06,IT/SW,Basic,1,29000,0
C00580,2022-02-11,IT/SW,Pro,4,396000,1
C00581,2022-02-28,제조,Pro,7,693000,0
C00582,2022-06-05,금융,Pro,9,891000,0
C00583,2024-02-21,유통/이커머스,Pro,3,297000,1
C00584,2022-05-10,공공,Basic,1,29000,1
C00585,2023-02-18,스타트업,Basic,1,29000,1
C00586,2022-07-19,교육,Enterprise,27,10530000,0
C00587,2024-04-28,IT/SW,Pro,3,297000,0
C00588,2023-10-04,IT/SW,Enterprise,41,15990000,1
C00589,2023-05-31,유통/이커머스,Pro,6,594000,0
C00590,2023-09-27,제조,Basic,2,58000,0
C00591,2023-03-27,금융,Enterprise,27,10530000,0
C00592,2024-01-10,유통/이커머스,Pro,6,594000,0
C00593,2022-12-01,제조,Basic,3,87000,0
C00594,2022-05-19,제조,Pro,4,396000,0
C00595,2022-08-22,공공,Pro,7,693000,0
C00596,2022-09-24,IT/SW,Basic,3,87000,0
C00597,2023-10-02,교육,Basic,1,29000,0
C00598,2022-11-11,교육,Pro,4,396000,0
C00599,2024-06-08,금융,Pro,11,1089000,0
C00600,2022-01-25,유통/이커머스,Pro,4,396000,0
C00601,2023-08-03,유통/이커머스,Basic,1,29000,1
C00602,2022-08-14,IT/SW,Basic,2,58000,0
C00603,2022-10-26,유통/이커머스,Pro,8,792000,0
C00604,2022-03-21,제조,Pro,7,693000,0
C00605,2022-06-07,유통/이커머스,Basic,3,87000,0
C00606,2023-01-14,IT/SW,Basic,1,29000,0
C00607,2023-12-16,교육,Pro,4,396000,0
C00608,2022-06-07,제조,Enterprise,36,14040000,0
C00609,2024-01-30,제조,Basic,1,29000,0
C00610,2023-01-27,IT/SW,Pro,5,495000,1
C00611,2024-06-12,교육,Pro,2,198000,0
C00612,2022-10-01,의료,Basic,1,29000,0
C00613,2022-12-08,IT/SW,Basic,2,58000,0
C00614,2023-08-05,의료,Basic,1,29000,0
C00615,2024-05-27,교육,Basic,1,29000,0
C00616,2022-12-29,IT/SW,Basic,4,116000,0
C00617,2022-04-29,유통/이커머스,Basic,1,29000,0
C00618,2024-03-21,유통/이커머스,Pro,5,495000,0
C00619,2022-06-20,유통/이커머스,Basic,1,29000,0
C00620,2022-06-23,IT/SW,Basic,2,58000,0
C00621,2023-04-15,스타트업,Basic,1,29000,0
C00622,2022-09-09,금융,Basic,1,29000,0
C00623,2022-10-16,IT/SW,Basic,1,29000,0
C00624,2022-01-03,공공,Pro,4,396000,0
C00625,2023-10-27,공공,Enterprise,33,12870000,0
C00626,2022-11-16,금융,Pro,2,198000,1
C00627,2024-03-05,공공,Basic,1,29000,0
C00628,2023-05-13,제조,Basic,1,29000,0
C00629,2022-01-30,의료,Basic,1,29000,0
C00630,2022-12-06,의료,Pro,2,198000,0
C00631,2022-08-07,교육,Basic,1,29000,1
C00632,2023-09-20,제조,Basic,1,29000,0
C00633,2022-11-15,의료,Basic,1,29000,0
C00634,2023-06-29,금융,Basic,1,29000,0
C00635,2023-12-07,유통/이커머스,Basic,3,87000,0
C00636,2024-04-18,교육,Basic,2,58000,1
C00637,2024-06-02,금융,Pro,5,495000,0
C00638,2023-06-05,제조,Basic,2,58000,0
C00639,2023-08-01,스타트업,Basic,3,87000,0
C00640,2022-08-08,교육,Basic,1,29000,0
C00641,2022-01-31,유통/이커머스,Basic,3,87000,0
C00642,2022-02-25,금융,Pro,3,297000,0
C00643,2023-04-04,유통/이커머스,Enterprise,42,16380000,0
C00644,2023-03-29,스타트업,Pro,7,693000,0
C00645,2024-03-16,교육,Basic,1,29000,0
C00646,2023-05-22,제조,Pro,6,594000,0
C00647,2024-03-30,스타트업,Enterprise,30,11700000,0
C00648,2023-03-21,유통/이커머스,Enterprise,27,10530000,0
C00649,2022-10-24,공공,Pro,4,396000,0
C00650,2022-04-26,스타트업,Pro,2,198000,0
C00651,2023-04-05,금융,Basic,4,116000,0
C00652,2022-02-16,유통/이커머스,Basic,2,58000,0
C00653,2022-11-22,스타트업,Basic,1,29000,0
C00654,2024-05-30,공공,Pro,5,495000,0
C00655,2022-01-26,유통/이커머스,Basic,1,29000,0
C00656,2023-04-06,의료,Basic,2,58000,1
C00657,2022-02-18,IT/SW,Enterprise,32,12480000,0
C00658,2022-01-06,유통/이커머스,Basic,3,87000,0
C00659,2022-10-20,교육,Pro,7,693000,0
C00660,2022-03-25,금융,Pro,3,297000,0
C00661,2024-03-08,제조,Basic,1,29000,0
C00662,2024-01-18,유통/이커머스,Basic,2,58000,0
C00663,2022-07-27,IT/SW,Basic,1,29000,0
C00664,2023-08-24,제조,Pro,5,495000,0
C00665,2024-01-08,IT/SW,Pro,6,594000,0
C00666,2023-07-03,의료,Pro,5,495000,0
C00667,2022-07-11,유통/이커머스,Basic,1,29000,0
C00668,2022-03-17,유통/이커머스,Basic,1,29000,1
C00669,2024-06-10,스타트업,Basic,1,29000,0
C00670,2022-07-05,스타트업,Pro,6,594000,0
C00671,2022-09-18,유통/이커머스,Enterprise,28,10920000,0
C00672,2022-07-11,금융,Enterprise,32,12480000,0
C00673,2023-12-26,공공,Basic,1,29000,1
C00674,2023-02-16,IT/SW,Pro,3,297000,0
C00675,2023-08-23,IT/SW,Pro,3,297000,1
C00676,2024-06-08,유통/이커머스,Basic,1,29000,0
C00677,2023-03-16,공공,Basic,1,29000,0
C00678,2023-02-19,금융,Pro,5,495000,0
C00679,2022-08-15,유통/이커머스,Enterprise,32,12480000,0
C00680,2022-03-29,유통/이커머스,Pro,6,594000,0
C00681,2023-01-11,IT/SW,Basic,1,29000,0
C00682,2023-05-12,교육,Pro,5,495000,0
C00683,2023-08-30,의료,Enterprise,27,10530000,0
C00684,2022-06-14,금융,Pro,8,792000,0
C00685,2023-09-16,IT/SW,Enterprise,33,12870000,0
C00686,2022-08-14,공공,Basic,1,29000,0
C00687,2024-02-23,IT/SW,Pro,4,396000,0
C00688,2022-12-23,IT/SW,Basic,1,29000,0
C00689,2023-03-14,제조,Pro,9,891000,0
C00690,2024-02-24,IT/SW,Basic,1,29000,0
C00691,2022-04-06,제조,Pro,7,693000,0
C00692,2023-11-21,공공,Basic,1,29000,0
C00693,2022-04-22,IT/SW,Basic,1,29000,0
C00694,2022-02-18,의료,Basic,2,58000,0
C00695,2024-05-31,공공,Pro,4,396000,1
C00696,2022-09-03,의료,Basic,1,29000,1
C00697,2023-11-30,교육,Enterprise,30,11700000,0
C00698,2023-05-22,의료,Pro,4,396000,0
C00699,2022-02-14,공공,Pro,2,198000,1
C00700,2023-11-03,제조,Pro,4,396000,1
C00701,2023-08-19,유통/이커머스,Basic,2,58000,1
C00702,2023-08-04,교육,Enterprise,31,12090000,0
C00703,2022-02-02,금융,Enterprise,21,8190000,0
C00704,2023-08-05,의료,Basic,5,145000,0
C00705,2024-01-17,교육,Basic,2,58000,0
C00706,2023-03-30,제조,Basic,1,29000,0
C00707,2022-10-09,의료,Basic,1,29000,0
C00708,2024-04-19,유통/이커머스,Basic,1,29000,0
C00709,2022-06-08,IT/SW,Pro,2,198000,0
C00710,2023-09-19,공공,Basic,1,29000,0
C00711,2024-01-10,스타트업,Pro,3,297000,0
C00712,2023-04-30,유통/이커머스,Enterprise,34,13260000,0
C00713,2023-08-08,의료,Basic,1,29000,0
C00714,2023-10-29,교육,Pro,4,396000,0
C00715,2022-06-10,공공,Enterprise,32,12480000,1
C00716,2024-06-13,제조,Basic,1,29000,0
C00717,2023-10-16,금융,Basic,2,58000,0
C00718,2022-04-26,IT/SW,Basic,4,116000,0
C00719,2022-04-21,유통/이커머스,Pro,5,495000,0
C00720,2022-11-28,교육,Pro,5,495000,0
C00721,2022-03-26,유통/이커머스,Pro,1,99000,0
C00722,2022-04-02,제조,Pro,6,594000,0
C00723,2023-02-26,IT/SW,Pro,1,99000,0
C00724,2022-05-15,스타트업,Basic,1,29000,0
C00725,2022-02-09,의료,Enterprise,27,10530000,0
C00726,2022-11-09,공공,Basic,3,87000,0
C00727,2022-10-28,유통/이커머스,Pro,6,594000,0
C00728,2024-06-08,금융,Basic,1,29000,0
C00729,2024-06-15,금융,Basic,2,58000,0
C00730,2024-02-11,제조,Pro,4,396000,0
C00731,2023-10-11,스타트업,Basic,3,87000,0
C00732,2022-08-16,금융,Basic,1,29000,0
C00733,2023-12-28,교육,Basic,1,29000,0
C00734,2023-08-21,유통/이커머스,Basic,2,58000,0
C00735,2023-01-23,제조,Pro,4,396000,0
C00736,2022-01-03,금융,Pro,6,594000,0
C00737,2022-12-11,의료,Basic,1,29000,0
C00738,2023-09-01,제조,Pro,5,495000,1
C00739,2023-01-23,의료,Basic,1,29000,0
C00740,2023-07-25,교육,Basic,1,29000,0
C00741,2023-11-25,유통/이커머스,Pro,3,297000,0
C00742,2024-06-07,금융,Pro,6,594000,0
C00743,2024-01-03,스타트업,Pro,7,693000,0
C00744,2022-03-27,공공,Pro,3,297000,0
C00745,2023-11-14,제조,Basic,1,29000,0
C00746,2023-08-31,스타트업,Pro,4,396000,0
C00747,2022-12-13,금융,Pro,3,297000,0
C00748,2023-03-24,IT/SW,Basic,1,29000,0
C00749,2024-01-06,IT/SW,Basic,1,29000,0
C00750,2022-02-26,교육,Basic,2,58000,0
C00751,2022-07-12,금융,Basic,1,29000,0
C00752,2022-06-14,IT/SW,Pro,8,792000,0
C00753,2022-10-28,IT/SW,Basic,1,29000,1
C00754,2023-05-17,유통/이커머스,Enterprise,24,9360000,0
C00755,2023-06-16,IT/SW,Basic,2,58000,0
C00756,2022-05-24,금융,Basic,1,29000,1
C00757,2023-10-14,제조,Basic,2,58000,0
C00758,2023-06-18,IT/SW,Basic,1,29000,0
C00759,2023-07-29,금융,Pro,5,495000,0
C00760,2022-12-28,제조,Basic,1,29000,0
C00761,2022-11-19,IT/SW,Pro,9,891000,0
C00762,2023-06-11,금융,Basic,2,58000,0
C00763,2024-02-06,제조,Basic,1,29000,1
C00764,2023-01-05,교육,Pro,3,297000,0
C00765,2023-04-03,의료,Enterprise,35,13650000,0
C00766,2023-08-21,제조,Basic,1,29000,0
C00767,2022-10-02,금융,Basic,2,58000,0
C00768,2024-03-02,공공,Pro,4,396000,0
C00769,2022-02-12,의료,Pro,3,297000,0
C00770,2024-04-01,제조,Enterprise,34,13260000,0
C00771,2022-11-09,IT/SW,Basic,1,29000,0
C00772,2024-01-23,IT/SW,Basic,1,29000,0
C00773,2022-03-30,제조,Pro,7,693000,0
C00774,2023-04-01,공공,Basic,1,29000,1
C00775,2023-09-08,교육,Pro,3,297000,0
C00776,2023-03-14,IT/SW,Basic,1,29000,0
C00777,2023-03-26,스타트업,Pro,3,297000,0
C00778,2024-05-21,IT/SW,Basic,1,29000,0
C00779,2023-12-14,금융,Pro,10,990000,0
C00780,2022-03-31,IT/SW,Basic,3,87000,0
C00781,2023-03-14,스타트업,Pro,5,495000,0
C00782,2022-06-23,유통/이커머스,Basic,2,58000,0
C00783,2022-06-08,제조,Enterprise,34,13260000,0
C00784,2024-03-06,IT/SW,Basic,1,29000,0
C00785,2024-03-28,교육,Basic,1,29000,0
C00786,2024-04-15,금융,Pro,5,495000,0
C00787,2024-05-16,금융,Basic,1,29000,0
C00788,2023-12-21,의료,Basic,1,29000,0
C00789,2023-03-09,IT/SW,Basic,1,29000,0
C00790,2023-08-21,교육,Basic,1,29000,0
C00791,2024-03-23,IT/SW,Pro,4,396000,0
C00792,2022-10-03,유통/이커머스,Pro,8,792000,0
C00793,2023-07-04,제조,Enterprise,27,10530000,0
C00794,2023-01-24,공공,Pro,8,792000,0
C00795,2022-02-20,유통/이커머스,Basic,2,58000,1
C00796,2022-10-11,교육,Pro,3,297000,0
C00797,2024-01-26,금융,Basic,1,29000,1
C00798,2024-06-06,IT/SW,Pro,5,495000,0
C00799,2023-08-06,금융,Pro,4,396000,0
C00800,2022-08-17,교육,Pro,4,396000,1
C00801,2023-08-13,공공,Pro,4,396000,0
C00802,2022-08-30,스타트업,Enterprise,23,8970000,1
C00803,2022-06-23,IT/SW,Pro,11,1089000,0
C00804,2022-08-22,금융,Pro,6,594000,0
C00805,2022-12-23,금융,Pro,6,594000,0
C00806,2022-06-27,유통/이커머스,Basic,1,29000,0
C00807,2023-11-13,IT/SW,Pro,1,99000,0
C00808,2023-06-29,금융,Pro,4,396000,0
C00809,2022-06-10,스타트업,Basic,1,29000,0
C00810,2023-07-28,의료,Pro,4,396000,0
C00811,2022-07-24,제조,Enterprise,35,13650000,0
C00812,2023-11-27,스타트업,Basic,1,29000,0
C00813,2024-02-29,IT/SW,Basic,2,58000,1
C00814,2023-10-21,공공,Enterprise,37,14430000,0
C00815,2022-07-26,유통/이커머스,Basic,3,87000,0
C00816,2023-03-02,제조,Enterprise,34,13260000,0
C00817,2024-06-04,IT/SW,Enterprise,21,8190000,0
C00818,2024-04-22,스타트업,Basic,1,29000,0
C00819,2023-10-16,IT/SW,Enterprise,31,12090000,0
C00820,2022-07-14,IT/SW,Enterprise,30,11700000,0
C00821,2023-09-24,금융,Pro,8,792000,0
C00822,2023-02-27,IT/SW,Enterprise,24,9360000,0
C00823,2022-12-31,금융,Basic,1,29000,0
C00824,2023-02-19,IT/SW,Enterprise,33,12870000,1
C00825,2023-03-21,유통/이커머스,Enterprise,30,11700000,0
C00826,2024-04-11,공공,Basic,1,29000,0
C00827,2023-03-25,IT/SW,Basic,3,87000,0
C00828,2022-04-21,제조,Enterprise,26,10140000,0
C00829,2022-09-19,스타트업,Enterprise,26,10140000,0
C00830,2023-12-30,제조,Basic,2,58000,0
C00831,2024-01-28,스타트업,Enterprise,25,9750000,1
C00832,2024-06-11,제조,Basic,1,29000,0
C00833,2022-03-13,IT/SW,Basic,2,58000,0
C00834,2022-03-06,IT/SW,Enterprise,42,16380000,0
C00835,2023-01-05,유통/이커머스,Pro,6,594000,0
C00836,2023-10-31,제조,Basic,2,58000,1
C00837,2022-07-22,유통/이커머스,Basic,3,87000,0
C00838,2023-02-06,교육,Pro,3,297000,0
C00839,2023-06-08,교육,Basic,1,29000,0
C00840,2023-12-18,IT/SW,Pro,3,297000,0
C00841,2023-06-21,제조,Basic,1,29000,0
C00842,2022-01-10,제조,Enterprise,31,12090000,0
C00843,2024-02-04,스타트업,Pro,6,594000,0
C00844,2022-07-12,유통/이커머스,Pro,2,198000,0
C00845,2023-03-04,유통/이커머스,Pro,7,693000,1
C00846,2023-06-03,유통/이커머스,Pro,5,495000,0
C00847,2022-09-05,제조,Pro,5,495000,0
C00848,2024-02-18,IT/SW,Pro,4,396000,0
C00849,2022-01-29,제조,Basic,4,116000,0
C00850,2024-05-26,유통/이커머스,Pro,2,198000,1
C00851,2022-04-01,교육,Pro,2,198000,0
C00852,2023-09-23,제조,Enterprise,32,12480000,0
C00853,2023-05-20,의료,Basic,2,58000,0
C00854,2023-07-16,공공,Basic,3,87000,0
C00855,2022-03-22,제조,Basic,1,29000,0
C00856,2023-01-24,유통/이커머스,Basic,1,29000,0
C00857,2023-07-03,의료,Basic,1,29000,0
C00858,2023-01-09,제조,Basic,3,87000,0
C00859,2022-06-18,공공,Enterprise,29,11310000,0
C00860,2023-05-14,제조,Pro,4,396000,0
C00861,2022-09-07,금융,Pro,3,297000,0
C00862,2022-05-01,유통/이커머스,Basic,1,29000,1
C00863,2023-03-16,교육,Basic,2,58000,0
C00864,2022-02-18,IT/SW,Pro,7,693000,0
C00865,2023-12-20,IT/SW,Basic,1,29000,1
C00866,2024-04-18,공공,Pro,3,297000,1
C00867,2024-05-28,공공,Basic,1,29000,0
C00868,2023-05-18,IT/SW,Basic,1,29000,0
C00869,2023-07-30,스타트업,Pro,7,693000,0
C00870,2023-03-06,유통/이커머스,Basic,1,29000,0
C00871,2023-08-13,IT/SW,Basic,3,87000,1
C00872,2023-05-21,제조,Enterprise,36,14040000,0
C00873,2023-04-10,스타트업,Basic,1,29000,0
C00874,2022-07-02,제조,Pro,2,198000,0
C00875,2023-04-11,스타트업,Basic,1,29000,0
C00876,2024-02-06,공공,Pro,5,495000,1
C00877,2022-05-10,제조,Enterprise,35,13650000,1
C00878,2023-05-22,유통/이커머스,Basic,1,29000,1
C00879,2023-08-21,공공,Basic,1,29000,1
C00880,2022-09-22,공공,Basic,1,29000,0
C00881,2023-06-02,의료,Basic,1,29000,0
C00882,2024-05-03,금융,Basic,1,29000,0
C00883,2022-07-29,제조,Basic,1,29000,0
C00884,2023-01-18,교육,Basic,4,116000,0
C00885,2022-10-23,교육,Enterprise,30,11700000,0
C00886,2022-11-28,유통/이커머스,Basic,2,58000,1
C00887,2024-04-08,IT/SW,Basic,2,58000,1
C00888,2024-04-29,공공,Enterprise,33,12870000,0
C00889,2023-02-03,IT/SW,Pro,7,693000,0
C00890,2022-06-21,유통/이커머스,Enterprise,33,12870000,0
C00891,2022-12-23,금융,Pro,8,792000,0
C00892,2023-02-04,금융,Basic,2,58000,0
C00893,2022-11-27,IT/SW,Pro,11,1089000,1
C00894,2023-10-15,제조,Pro,4,396000,0
C00895,2022-08-16,IT/SW,Pro,4,396000,0
C00896,2023-11-24,교육,Basic,1,29000,0
C00897,2024-01-18,금융,Pro,10,990000,0
C00898,2022-11-09,제조,Basic,1,29000,0
C00899,2023-03-19,공공,Pro,4,396000,0
C00900,2022-03-10,교육,Basic,1,29000,1
C00901,2023-04-23,유통/이커머스,Enterprise,34,13260000,0
C00902,2022-12-02,공공,Basic,1,29000,0
C00903,2023-10-12,공공,Basic,2,58000,1
C00904,2023-06-16,금융,Basic,2,58000,0
C00905,2022-05-17,제조,Pro,3,297000,0
C00906,2024-04-05,IT/SW,Enterprise,35,13650000,0
C00907,2023-12-11,제조,Basic,1,29000,0
C00908,2023-12-10,IT/SW,Enterprise,33,12870000,0
C00909,2022-01-12,공공,Pro,3,297000,1
C00910,2022-04-25,교육,Pro,5,495000,0
C00911,2022-11-14,스타트업,Pro,1,99000,0
C00912,2024-02-11,제조,Basic,1,29000,0
C00913,2022-03-08,제조,Basic,3,87000,0
C00914,2023-03-05,교육,Enterprise,34,13260000,0
C00915,2022-01-13,공공,Enterprise,26,10140000,0
C00916,2022-07-20,IT/SW,Enterprise,38,14820000,0
C00917,2022-06-06,의료,Basic,1,29000,1
C00918,2022-01-08,의료,Basic,1,29000,0
C00919,2022-10-29,제조,Basic,2,58000,0
C00920,2023-02-05,금융,Basic,4,116000,0
C00921,2022-06-27,금융,Basic,3,87000,1
C00922,2024-01-15,공공,Basic,2,58000,0
C00923,2022-08-28,IT/SW,Basic,2,58000,1
C00924,2023-02-10,금융,Basic,1,29000,0
C00925,2024-03-21,유통/이커머스,Basic,1,29000,1
C00926,2023-09-24,IT/SW,Pro,2,198000,0
C00927,2023-11-15,교육,Enterprise,32,12480000,0
C00928,2024-05-10,공공,Basic,1,29000,0
C00929,2024-05-29,제조,Pro,4,396000,0
C00930,2023-09-16,교육,Enterprise,26,10140000,0
C00931,2023-11-28,공공,Pro,7,693000,0
C00932,2022-06-22,IT/SW,Basic,1,29000,0
C00933,2023-08-06,유통/이커머스,Basic,1,29000,0
C00934,2024-03-20,의료,Pro,9,891000,0
C00935,2022-01-14,제조,Pro,5,495000,1
C00936,2023-05-11,스타트업,Basic,1,29000,1
C00937,2022-12-11,유통/이커머스,Enterprise,23,8970000,0
C00938,2024-01-02,제조,Pro,6,594000,0
C00939,2024-01-25,유통/이커머스,Basic,1,29000,0
C00940,2024-06-17,제조,Pro,6,594000,0
C00941,2022-01-17,의료,Basic,1,29000,0
C00942,2023-06-02,제조,Pro,5,495000,0
C00943,2023-12-27,IT/SW,Basic,1,29000,0
C00944,2023-07-20,유통/이커머스,Enterprise,27,10530000,0
C00945,2022-05-01,교육,Basic,1,29000,0
C00946,2023-05-13,교육,Pro,2,198000,1
C00947,2023-06-23,공공,Basic,3,87000,0
C00948,2024-05-18,스타트업,Basic,3,87000,0
C00949,2022-06-22,제조,Basic,1,29000,0
C00950,2024-03-08,교육,Basic,2,58000,0
C00951,2022-04-23,스타트업,Basic,1,29000,0
C00952,2024-06-07,교육,Basic,1,29000,0
C00953,2024-04-30,유통/이커머스,Basic,1,29000,0
C00954,2023-06-19,제조,Enterprise,35,13650000,0
C00955,2023-11-12,공공,Basic,1,29000,0
C00956,2023-07-18,유통/이커머스,Enterprise,21,8190000,0
C00957,2024-02-07,유통/이커머스,Pro,5,495000,0
C00958,2022-05-26,공공,Enterprise,29,11310000,0
C00959,2022-01-31,제조,Basic,2,58000,1
C00960,2023-11-15,금융,Basic,1,29000,0
C00961,2022-01-09,유통/이커머스,Basic,3,87000,0
C00962,2023-11-13,금융,Basic,1,29000,0
C00963,2023-06-07,의료,Pro,4,396000,0
C00964,2023-08-18,공공,Basic,1,29000,0
C00965,2023-06-07,IT/SW,Basic,1,29000,0
C00966,2023-02-10,제조,Enterprise,39,15210000,0
C00967,2022-02-03,의료,Basic,2,58000,1
C00968,2022-06-07,IT/SW,Basic,1,29000,0
C00969,2023-11-29,교육,Enterprise,36,14040000,0
C00970,2022-03-27,제조,Pro,3,297000,0
C00971,2024-01-27,스타트업,Basic,1,29000,0
C00972,2022-02-06,스타트업,Pro,6,594000,1
C00973,2022-11-02,금융,Basic,2,58000,1
C00974,2023-06-16,유통/이커머스,Enterprise,32,12480000,0
C00975,2022-09-27,금융,Basic,2,58000,0
C00976,2023-05-22,금융,Basic,3,87000,0
C00977,2022-04-24,공공,Pro,3,297000,0
C00978,2024-04-27,공공,Pro,6,594000,0
C00979,2022-12-10,금융,Basic,1,29000,0
C00980,2023-06-24,제조,Basic,1,29000,0
C00981,2023-08-06,금융,Basic,1,29000,1
C00982,2024-01-16,IT/SW,Enterprise,36,14040000,0
C00983,2022-10-04,스타트업,Pro,4,396000,0
C00984,2022-09-20,금융,Pro,4,396000,0
C00985,2024-06-05,금융,Basic,1,29000,0
C00986,2023-02-25,금융,Pro,6,594000,0
C00987,2023-03-11,제조,Pro,4,396000,0
C00988,2023-03-25,제조,Basic,1,29000,0
C00989,2023-10-12,제조,Basic,1,29000,0
C00990,2022-02-06,스타트업,Enterprise,22,8580000,0
C00991,2022-03-09,스타트업,Basic,1,29000,1
C00992,2024-02-07,스타트업,Basic,1,29000,0
C00993,2024-04-13,IT/SW,Basic,1,29000,0
C00994,2024-03-24,제조,Basic,1,29000,0
C00995,2022-01-22,의료,Basic,1,29000,0
C00996,2023-04-29,의료,Pro,7,693000,0
C00997,2023-08-12,금융,Enterprise,34,13260000,0
C00998,2022-02-01,유통/이커머스,Basic,1,29000,0
C00999,2023-05-23,제조,Basic,2,58000,0
C01000,2022-12-04,교육,Basic,1,29000,1
C01001,2024-05-05,스타트업,Basic,1,29000,0
C01002,2024-04-29,유통/이커머스,Pro,3,297000,0
C01003,2022-08-18,금융,Pro,5,495000,0
C01004,2024-03-07,IT/SW,Pro,7,693000,0
C01005,2022-09-25,유통/이커머스,Pro,4,396000,0
C01006,2023-12-27,공공,Pro,3,297000,0
C01007,2024-01-03,유통/이커머스,Basic,3,87000,0
C01008,2023-04-07,제조,Basic,1,29000,0
C01009,2023-04-07,제조,Enterprise,19,7410000,0
C01010,2022-09-06,제조,Basic,2,58000,0
C01011,2022-03-19,교육,Pro,9,891000,1
C01012,2022-03-07,금융,Enterprise,28,10920000,1
C01013,2023-02-12,IT/SW,Basic,1,29000,0
C01014,2022-01-12,IT/SW,Basic,1,29000,0
C01015,2023-03-23,교육,Pro,3,297000,0
C01016,2022-12-08,제조,Pro,4,396000,0
C01017,2023-06-06,제조,Pro,4,396000,0
C01018,2024-04-30,IT/SW,Pro,5,495000,1
C01019,2022-05-20,스타트업,Enterprise,29,11310000,0
C01020,2023-08-08,IT/SW,Pro,2,198000,0
C01021,2022-02-18,의료,Pro,9,891000,0
C01022,2024-04-07,유통/이커머스,Basic,1,29000,0
C01023,2022-03-18,스타트업,Pro,4,396000,1
C01024,2023-07-09,IT/SW,Basic,1,29000,0
C01025,2022-12-25,금융,Basic,1,29000,0
C01026,2022-07-26,교육,Basic,2,58000,0
C01027,2023-05-05,IT/SW,Pro,3,297000,0
C01028,2022-09-17,의료,Basic,1,29000,0
C01029,2024-04-01,의료,Basic,1,29000,0
C01030,2022-01-16,공공,Pro,8,792000,0
C01031,2022-09-04,제조,Basic,1,29000,0
C01032,2023-09-23,공공,Basic,1,29000,0
